Date,Open,High,Low,Close
2026-07-23,4133.4,4139.96,4125.09,4137.97
2026-07-22,4079.68,4166.19,4076.62,4130.15
2026-07-21,4009.25,4087.08,3999.56,4077.88
2026-07-20,4001.52,4040.69,3982.62,4007.74
2026-07-19,4001.52,4004.38,3989.47,3995.74
2026-07-17,3978.07,4023.95,3959.23,4016.66
2026-07-16,4064.37,4065.63,3969.4,3976.28
2026-07-15,4051.7,4081.43,4017.3,4059.93
2026-07-14,4005.38,4103.3,3982.79,4053
2026-07-13,4097.61,4103.38,3986.6,4001.01
2026-07-12,4097.61,4101.56,4068.56,4084.09
2026-07-10,4124.66,4134.94,4072.64,4119.06
2026-07-09,4077.93,4138.31,4054.16,4123.55
2026-07-08,4094.67,4134.04,4021.65,4077.67
2026-07-07,4166.35,4180.52,4092.43,4106.08
2026-07-06,4190.12,4203.1,4128.56,4165.13
2026-07-05,4190.12,4201.54,4177.94,4183
2026-07-03,4126.31,4195.53,4121.06,4175.03
2026-07-02,4034.04,4144.18,4030.61,4123.51
2026-07-01,4011.95,4115.56,3959.59,4031.27
2026-06-30,4018.17,4063.54,3942.19,4007.44
2026-06-29,4079.21,4086.24,4000.58,4016.44
2026-06-28,4079.21,4086.24,4052.2,4062.47
2026-06-26,4028.97,4096.07,3982.88,4080.44
2026-06-25,4006.72,4044.36,3962.66,4026.48
2026-06-24,4113.21,4115.29,3958.73,3999.3
2026-06-23,4192.02,4198.66,4090.73,4110.04
2026-06-22,4148.89,4220.98,4136.3,4191.56
2026-06-21,4148.89,4164.67,4136.42,4140.19
2026-06-19,4212.82,4213.57,4121.58,4155.62
2026-06-18,4257.51,4329.9,4201.35,4208.97
2026-06-17,4334.52,4382.25,4219,4257.98
2026-06-16,4311.23,4355.04,4306.01,4331.39
2026-06-15,4268.16,4369.33,4265.22,4309.28
2026-06-14,4268.16,4309.07,4265.58,4294.17
2026-06-12,4218.09,4246.39,4170.1,4216.98
2026-06-11,4070.87,4220.06,4023.75,4210.97
2026-06-10,4255.91,4257.49,4067,4071.52
2026-06-09,4330.49,4363.61,4236.64,4259.66
2026-06-08,4328.03,4353.38,4268.53,4329.9
2026-06-07,4328.03,4347.01,4309.89,4343.71
2026-06-05,4473.69,4481.57,4311.64,4327.74
2026-06-04,4436.94,4515.48,4423.77,4475.41
2026-06-03,4491.79,4496.66,4426.36,4434.3
2026-06-02,4485.52,4541.57,4462.83,4488.06
2026-06-01,4522.08,4546.29,4447.53,4484.86
2026-05-31,4522.08,4545.67,4517.99,4539.42
2026-05-29,4499.08,4595.18,4488.94,4539.83
